year,Country,country code
2019,Afghanistan,AFG
2020,Angola,AGO
2016,Armenia,ARM
2023,Belize,BLZ
2010,Bhutan,BTN
2015,Chile,CHL
2011,Colombia,COL
2015,Costa Rica,CRI
2017,Dominican Republic,DOM
2016,Ecuador,ECU
2015,El Salvador,SLV
2020,Ghana ,GHA
2019,Guatemala,GTM
2016,Honduras,HND
2021,India,IND
2021,Malawi,MWI
2020,Maldives,MDV
2023,Mauritania,MRT
2009,Mexico,MEX
2016,Mozambique,MOZ
2021,Namibia,NAM
2017,Nepal,NPL
2018,Nigeria,NGA
2016,Pakistan,PAK
2020,Palestine,PSE
2017,Panama,PAN
2021,Paraguay,PRY
2018,Philippines,PHL
2018,Rwanda,RWA
2022,Samoa,WSM
2020,Seychelles,SYC
2019,Sierra Leone,SLE
2021,Sri Lanka,LKA
2019,Thailand,THA
2022,Uganda,UGA
2015,Viet Nam,VNM
2018,Senegal,SEN
2020,Kyrgyzstan,KGZ
